Relation	Label	Desc	Type	Greek Template	Paraphrase 1	Paraphrase 2	English Template
P19	place of birth	most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character	N-1	[DEF;X] [X.Nom] γεννήθηκε [PREPDEF;Y] [Y.Acc] .			[X] was born in [Y] .
P20	place of death	most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character	N-1	[DEF;X] [X.Nom] πέθανε [PREPDEF;Y] [Y.Acc] .			[X] died in [Y] .
P279	subclass of	all instances of these items are instances of those items; this item is a class (subset) of that item. Not to be confused with P31 (instance of)	N-1	[DEF;X] [X.Nom] είναι υποκατηγορία [DEF;Y] [Y.Gen] .			[X] is a subclass of [Y] .
P37	official language	language designated as official by this item	N-1	Η επίσημη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .	Η επίσημη γλώσσα [DEF;X] [X.Gen] είναι η [Y] .		The official language of [X] is [Y] .
P413	position played on team / speciality	position or specialism of a player on a team, e.g. Small Forward	N-1	[DEF;X] [X.Nom] παίζει στη θέση [DEF;Y] [Y.Gen] .			[X] plays in [Y] position .
P166	award received	award or recognition received by a person, organisation or creative work	N-M	[DEF;X] [X.Nom] βραβεύτηκε με [Y] .	[DEF;X] [X.Nom] πήρε το βραβείο [Y] .		[X] was awarded the [Y] .
P449	original network	network(s) the radio or television show was originally aired on,  including	N-1	[DEF;X] [X.Nom] προβλήθηκε αρχικά [PREPDEF;Y] [Y.Acc] .			[X] was originally aired on [Y] .
P69	educated at	educational institution attended by subject	N-M	[DEF;X] [X.Nom] φοίτησε στο πανεπιστήμιο [DEF;Y] [Y.Gen] .			[X] was educated at the University of [Y] .
P47	shares border with	countries or administrative subdivisions, of equal level, that this item borders, either by land or water	N-M	[DEF;X] [X.Nom] συνορεύει με [DEF;Y] [Y.Acc] .			[X] shares border with [Y] .
P138	named after	entity or event that inspired the subject's name, or namesake (in at least one language)	N-1	[DEF;X] [X.Nom] πήρε το όνομά [DEF.Gen;X] από [DEF;Y] [Y.Acc] .			[X] is named after [Y] .
P364	original language of film or TV show	language in which a film or a performance work was originally created. Deprecated for written works; use P407 ("language of work or name") instead.	N-1	Η πρωτότυπη γλώσσα [DEF;X] [X.Gen] είναι τα [Y] .	[DEF;X] [X.Nom] [δημιουργήθηκε;X-Number=SG|δημουργήθηκαν;X-Number=PL] πρώτα [PREPDEF;Y] [Y.Acc] .		The original language of [X] is [Y] .
P54	member of sports team	sports teams or clubs that the subject currently represents or formerly represented	N-1	[DEF;X] [X.Nom] παίζει [PREPDEF;Y] [Y.Acc] .			[X] plays with [Y] .
P463	member of	organization or club to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).	N-M	[DEF;X] [X.Nom] είναι μέλος [DEF;Y] [Y.Gen] .			[X] is a member of [Y] .
P101	field of work	specialization of a person or organization; see P106 for the occupation	N-M	[DEF;X] [X.Nom] ειδικεύεται στο πεδίο [DEF;Y] [Y.Gen] .			[X] works in the field of [Y] .
P1923	participating team	Like 'Participant' (P710) but for teams. For an event like a cycle race or a football match you can use this property to list the teams and P710 to list the individuals (with 'member of sports team' (P54)' as a qualifier for the individuals)	N-M	[DEF;Y] [Y.Nom] συμμετείχε [PREPDEF;X] [X.Acc] .			[Y] participated in the [X] .
P106	occupation	occupation of a person; see also "field of work" (Property:P101), "position held" (Property:P39)	N-M	[DEF;X] [X.Nom] εργάζεται ως [Y] .	[DEF;X] [X.Nom] δουλεύει ως [Y] .		[X] is a [Y] by profession .
P527	has part	part of this subject; inverse property of "part of" (P361). See also "has parts of the class" (P2670).	N-M	[DEF;X] [X.Nom] αποτελείται από [Y.Acc] .			[X] consists of [Y] .
P102	member of political party	the political party of which this politician is or has been a member	N-1	[DEF;X] [X.Nom] είναι μέλος του [Y] κόμματος.	[DEF;X] [X.Nom] είναι μέλος του κόμματος [DEF;Y] [Y.Gen] .		[X] is a member of the [Y] political party .
P530	diplomatic relation	diplomatic relations of the country	N-M	[DEF;X] [X.Nom] διατηρεί διπλωματικές σχέσεις με [DEF;Y] [Y.Acc] .			[X] maintains diplomatic relations with [Y] .
P176	manufacturer	manufacturer or producer of this product	N-1	[DEF;X] [X.Nom] παράγεται από [DEF;Y] [Y.Acc] .			[X] is produced by [Y] .
P27	country of citizenship	the object is a country that recognizes the subject as its citizen	N-M	[DEF;X] [X.Nom] είναι [Y] πολίτης .	[DEF;X] [Χ.Nom] είναι πολίτης [DEF;Y] [Y.Gen] .		[X] is [Y] citizen .
P407	language of work or name	language associated with this creative work (such as books, shows, songs, or websites) or a name (for persons use P103 and P1412)	N-1	[DEF;X] [X.Nom] γράφτηκε στα [Y] .	[DEF;X] [X.Nom] γράφτηκε [PREPDEF;Y] [Y.Acc] .		[X] was written in [Y] .
P30	continent	continent of which the subject is a part	N-1	[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] is located in [Y] .
P178	developer	organisation or person that developed the item	N-M	[DEF;X] [X.Nom] αναπτύσσεται από [DEF;Y.Fem] [Y.Acc] .			[X] is developed by [Y] .
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat	1-1	[DEF;X] [X.Nom] είναι η πρωτεύουσα [DEF;Y] [Y.Gen] .			[X] is the capital of [Y] .
P131	located in the administrative territorial entity	the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events	N-1	[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] is located in [Y] .
P1412	languages spoken, written or signed	language(s) that a person speaks or writes, including the native language(s)	N-M	[DEF;X] [X.Nom] μιλούσε [Y] .	[DEF;X] [X.Nom] μιλούσε την [Y] .		[X] used to communicate in [Y] .
P108	employer	person or organization for which the subject works or worked	N-M	[DEF;X] [X.Nom] δουλεύει [PREPDEF;Y] [Y.Acc] .	[DEF;X] [X.Nom] εργάζεται [PREPDEF;Y] [Y.Acc] .		[X] works for [Y] .
P136	genre	creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic	N-1	[DEF;X] [X.Nom] παίζει [Y] μουσική .			[X] plays [Y] music .
P17	country	sovereign state of this item; don't use on humans	N-1	[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] is located in [Y] .
P39	position held	subject currently or formerly holds the object position or public office	N-M	[DEF;X] [X.Nom] έχει τη θέση [DEF;Y] [Y.Gen] .	[DEF;X] [X.Nom] κατέχει το αξίωμα [DEF;Y] [Y.Gen] .		[X] has the position of [Y] .
P264	record label	brand and trademark associated with the marketing of subject music recordings and music videos	N-1	[DEF;X] [X.Nom] αντιπροσωπεύεται από τη μουσική ετικέτα [DEF;Y] [Y.Gen] .			[X] is represented by music label [Y] .
P276	location	location of the item, physical object or event is within. In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	N-1	[DEF;X] [X.Nom] [βρίσκεται;X-Number=SG|βρίσκονται;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] is located in [Y] .
P937	work location	location where persons were active	N-M	[DEF;X] [X.Nom] δούλευε [PREPDEF;Y] [Y.Acc] .	[DEF;X] [X.Nom] εργαζόταν [PREPDEF;Y] [Y.Acc] .		[X] used to work in [Y] .
P140	religion	religion of a person, organization or religious building, or associated with this subject	N-1	Το θρήσκευμα [DEF;X] [X.Gen] είναι [Y] .	[DEF;X] [X.Nom] είναι [Y] στο θρήσκευμα .	Η θρησκεία [DEF;X] [X.Gen] είναι [Y] .	[X] is affiliated with the [Y] religion .
P1303	instrument	musical instrument that a person plays	N-M	[DEF;X] [X.Nom] παίζει [Y.Acc] .			[X] plays [Y] .
P127	owned by	owner of the subject	N-1	[DEF;X] [X.Nom] ανήκει [PREPDEF;Y] [Y.Acc] .			[X] is owned by [Y] .
P103	native language	language or languages a person has learned from early childhood	N-1	Η μητρική γλώσσα [DEF;X] [X.Gen] είναι τα [Y.Acc] .	Η μητρική γλώσσα [DEF;X] [X.Gen] είναι η [Y] .		The native language of [X] is [Y] .
P190	twinned administrative body	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments	N-M	[DEF;X] [X.Nom] και [DEF;Y] [Y.Nom] είναι αδελφοποιημένες πόλεις .			[X] and [Y] are twin cities .
P1001	applies to jurisdiction	the item (an institution, law, public office ...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	N-M	[DEF;X] [X.Nom] είναι ένας νομικός όρος [PREPDEF;Y] [Y.Acc] .			[X] is a legal term in [Y] .
P31	instance of	that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P279; using this property as a qualifier is deprecated—use P2868 or P3831 instead	N-M	[DEF;X] [X.Nom] είναι [INDEF;Y] [Y.Acc] .			[X] is a [Y] .
P495	country of origin	country of origin of this item (creative work, food, phrase, product, etc.)	N-1	[DEF;X] [X.Nom] [δημιουργήθηκε;X-Number=SG|δημουργήθηκαν;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] was created in [Y] .
P159	headquarters location	specific location where an organization's headquarters is or has been situated. Inverse property of "occupant" (P466).	N-1	Η έδρα [DEF;X] [X.Gen] είναι [PREPDEF;Y] [Y.Acc] .			The headquarter of [X] is in [Y] .
P36	capital	primary city of a country, state or other type of administrative territorial entity	1-1	[DEF;X] [X.Nom] είναι η πρωτεύουσα [DEF;Y] [Y.Gen] .			The capital of [X] is [Y] .
P740	location of formation	location where a group or organization was formed	N-1	[DEF;X] [X.Nom] [ιδρύθηκε;X-Number=SG|ιδρύθηκαν;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] was founded in [Y] .
P361	part of	object of which the subject is a part (it's not useful to link objects which are themselves parts of other objects already listed as parts of the subject). Inverse property of "has part" (P527, see also "has parts of the class" (P2670)).	N-1	[DEF;X] [X.Nom] είναι μέρος [DEF;Y] [Y.Gen] .			[X] is part of [Y] .